year,age,pob,sex
1950,0,56686.0372,m
1950,1,55081.33906,m
1950,2,53482.00945,m
1950,3,51889.54664,m
1950,4,50305.4489,m
1950,5,48731.2145,m
1950,6,47168.34171,m
1950,7,45618.32882,m
1950,8,44082.67408,m
1950,9,42562.87578,m
1950,10,41083.18547,m
1950,11,39667.85471,m
1950,12,38204.61535,m
1950,13,36649.4591,m
1950,14,35072.14409,m
1950,15,33550.70601,m
1950,16,32026.66086,m
1950,17,30801.41828,m
1950,18,30019.19435,m
1950,19,29524.29382,m
1950,20,29017.5561,m
1950,21,28559.71422,m
1950,22,27992.61236,m
1950,23,27207.55684,m
1950,24,26278.26139,m
1950,25,25430.60464,m
1950,26,24671.5764,m
1950,27,23751.84339,m
1950,28,22586.71534,m
1950,29,21305.10455,m
1950,30,20050.50114,m
1950,31,18710.07216,m
1950,32,17852.48692,m
1950,33,17748.38412,m
1950,34,18100.48389,m
1950,35,18389.34734,m
1950,36,18777.03782,m
1950,37,18714.06615,m
1950,38,17893.13571,m
1950,39,16599.91033,m
1950,40,15435.12181,m
1950,41,14287.94942,m
1950,42,13291.82225,m
1950,43,12576.63659,m
1950,44,12068.74715,m
1950,45,11503.79326,m
1950,46,10861.66411,m
1950,47,10533.79169,m
1950,48,10665.12829,m
1950,49,11057.67384,m
1950,50,11438.03605,m
1950,51,11944.36546,m
1950,52,11932.53747,m
1950,53,11080.97461,m
1950,54,9719.995291,m
1950,55,8448.997298,m
1950,56,7085.103301,m
1950,57,6177.78519,m
1950,58,6040.719431,m
1950,59,6377.291472,m
1950,60,6616.625168,m
1950,61,6920.193589,m
1950,62,6897.991728,m
1950,63,6313.695414,m
1950,64,5390.545543,m
1950,65,4562.491419,m
1950,66,3712.004267,m
1950,67,3111.739097,m
1950,68,2931.172041,m
1950,69,3014.626074,m
1950,70,3054.122573,m
1950,71,3131.8667,m
1950,72,3073.321857,m
1950,73,2767.291695,m
1950,74,2316.531333,m
1950,75,1918.180706,m
1950,76,1512.637994,m
1950,77,1244.217737,m
1950,78,1198.066591,m
1950,79,1289.400903,m
1950,80,1361.364291,m
1950,81,1461.016738,m
1950,82,1456.105513,m
1950,83,1270.048181,m
1950,84,975.6895692,m
1950,85,735.5308644,m
1950,86,532.7605366,m
1950,87,350.5670562,m
1950,88,202.0243459,m
1950,89,100.2063287,m
1950,90,58.18692733,m
1950,91,89.04006477,m
1950,92,205.8396639,m
1950,93,421.6596475,m
1950,94,749.5739384,m
1950,95,1355.535224,m
1951,0,58110.35141,m
1951,1,56632.7211,m
1951,2,55124.66026,m
1951,3,53590.72679,m
1951,4,52035.47861,m
1951,5,50463.47363,m
1951,6,48879.26974,m
1951,7,47287.42487,m
1951,8,45692.49692,m
1951,9,44099.0438,m
1951,10,42533.8621,m
1951,11,41023.74842,m
1951,12,39462.06723,m
1951,13,37808.89908,m
1951,14,36135.51794,m
1951,15,34516.11939,m
1951,16,32891.46693,m
1951,17,31585.09057,m
1951,18,30751.37577,m
1951,19,30225.73584,m
1951,20,29689.96717,m
1951,21,29208.63268,m
1951,22,28619.6973,m
1951,23,27810.63054,m
1951,24,26857.73355,m
1951,25,25990.53014,m
1951,26,25211.9461,m
1951,27,24285.3655,m
1951,28,23131.70962,m
1951,29,21871.51782,m
1951,30,20638.09777,m
1951,31,19325.21543,m
1951,32,18468.65196,m
1951,33,18323.10456,m
1951,34,18608.25775,m
1951,35,18834.73294,m
1951,36,19155.16672,m
1951,37,19050.52883,m
1951,38,18230.61988,m
1951,39,16964.96291,m
1951,40,15821.80263,m
1951,41,14697.71687,m
1951,42,13711.95401,m
1951,43,12984.37162,m
1951,44,12449.26852,m
1951,45,11861.05539,m
1951,46,11196.81349,m
1951,47,10844.941,m
1951,48,10951.06589,m
1951,49,11318.05199,m
1951,50,11672.95014,m
1951,51,12154.12812,m
1951,52,12120.88089,m
1951,53,11253.48702,m
1951,54,9881.452379,m
1951,55,8599.188751,m
1951,56,7222.035093,m
1951,57,6313.113512,m
1951,58,6191.500008,m
1951,59,6553.117966,m
1951,60,6816.654259,m
1951,61,7148.578905,m
1951,62,7135.431545,m
1951,63,6529.086484,m
1951,64,5564.69334,m
1951,65,4698.671519,m
1951,66,3807.510053,m
1951,67,3179.870373,m
1951,68,2994.982773,m
1951,69,3088.600546,m
1951,70,3134.913852,m
1951,71,3220.285252,m
1951,72,3163.938895,m
1951,73,2849.972735,m
1951,74,2385.100072,m
1951,75,1974.965665,m
1951,76,1558.075856,m
1951,77,1280.763488,m
1951,78,1229.971225,m
1951,79,1319.452977,m
1951,80,1389.200051,m
1951,81,1487.030256,m
1951,82,1479.857527,m
1951,83,1290.409987,m
1951,84,992.1689834,m
1951,85,749.067798,m
1951,86,544.1358431,m
