loc,year,date_ref,sex,age,pop
Ecuador,2010,28/11/2010,m,0,132183
Ecuador,2010,28/11/2010,m,1,152174
Ecuador,2010,28/11/2010,m,2,152184
Ecuador,2010,28/11/2010,m,3,153829
Ecuador,2010,28/11/2010,m,4,153935
Ecuador,2010,28/11/2010,m,5,146130
Ecuador,2010,28/11/2010,m,6,150684
Ecuador,2010,28/11/2010,m,7,155573
Ecuador,2010,28/11/2010,m,8,161547
Ecuador,2010,28/11/2010,m,9,159956
Ecuador,2010,28/11/2010,m,10,172793
Ecuador,2010,28/11/2010,m,11,160469
Ecuador,2010,28/11/2010,m,12,145896
Ecuador,2010,28/11/2010,m,13,152073
Ecuador,2010,28/11/2010,m,14,151746
Ecuador,2010,28/11/2010,m,15,147212
Ecuador,2010,28/11/2010,m,16,144626
Ecuador,2010,28/11/2010,m,17,146979
Ecuador,2010,28/11/2010,m,18,142688
Ecuador,2010,28/11/2010,m,19,132043
Ecuador,2010,28/11/2010,m,20,133908
Ecuador,2010,28/11/2010,m,21,124325
Ecuador,2010,28/11/2010,m,22,131821
Ecuador,2010,28/11/2010,m,23,126553
Ecuador,2010,28/11/2010,m,24,122533
Ecuador,2010,28/11/2010,m,25,124049
Ecuador,2010,28/11/2010,m,26,116621
Ecuador,2010,28/11/2010,m,27,115202
Ecuador,2010,28/11/2010,m,28,117844
Ecuador,2010,28/11/2010,m,29,113234
Ecuador,2010,28/11/2010,m,30,117279
Ecuador,2010,28/11/2010,m,31,103527
Ecuador,2010,28/11/2010,m,32,102954
Ecuador,2010,28/11/2010,m,33,101616
Ecuador,2010,28/11/2010,m,34,95515
Ecuador,2010,28/11/2010,m,35,94162
Ecuador,2010,28/11/2010,m,36,92301
Ecuador,2010,28/11/2010,m,37,89766
Ecuador,2010,28/11/2010,m,38,92126
Ecuador,2010,28/11/2010,m,39,87847
Ecuador,2010,28/11/2010,m,40,89993
Ecuador,2010,28/11/2010,m,41,77348
Ecuador,2010,28/11/2010,m,42,81520
Ecuador,2010,28/11/2010,m,43,75359
Ecuador,2010,28/11/2010,m,44,75010
Ecuador,2010,28/11/2010,m,45,78011
