"","year","type","date_ref","sex","age","deaths"
"1",1973,"x5",1973.5,"f",0,8797.51629144106
"2",1973,"x5",1973.5,"f",1,7153.735220544
"3",1973,"x5",1973.5,"f",5,1329.18666286691
"4",1973,"x5",1973.5,"f",10,632.223488806561
"5",1973,"x5",1973.5,"f",15,598.842088597575
"6",1973,"x5",1973.5,"f",20,649.419967702099
"7",1973,"x5",1973.5,"f",25,566.472245970679
"8",1973,"x5",1973.5,"f",30,604.911434090117
"9",1973,"x5",1973.5,"f",35,635.258161552832
"10",1973,"x5",1973.5,"f",40,678.755137582724
"11",1973,"x5",1973.5,"f",45,629.188816060289
"12",1973,"x5",1973.5,"f",50,712.13653779171
"13",1973,"x5",1973.5,"f",55,644.362179791647
"14",1973,"x5",1973.5,"f",60,1011.5575820905
"15",1973,"x5",1973.5,"f",65,880.055096418733
"16",1973,"x5",1973.5,"f",70,1391.90323295652
"17",1973,"x5",1973.5,"f",79,983.233969791964
"18",1973,"x5",1973.5,"f",80,1324.12887495646
"19",1973,"x5",1973.5,"f",85,2723.11301098762
"20",1973,"x5",1973.5,"m",0,9955.8654430606
"21",1973,"x5",1973.5,"m",1,6924.36717120553
"22",1973,"x5",1973.5,"m",5,1371.51257374412
"23",1973,"x5",1973.5,"m",10,680.189261664978
"24",1973,"x5",1973.5,"m",15,669.055211250819
"25",1973,"x5",1973.5,"m",20,770.273851379536
"26",1973,"x5",1973.5,"m",25,734.847327334485
"27",1973,"x5",1973.5,"m",30,612.372772778738
"28",1973,"x5",1973.5,"m",35,745.981377748644
"29",1973,"x5",1973.5,"m",40,808.736934628449
"30",1973,"x5",1973.5,"m",45,762.176360169239
"31",1973,"x5",1973.5,"m",50,887.687473928848
"32",1973,"x5",1973.5,"m",55,834.041594660628
"33",1973,"x5",1973.5,"m",60,1244.98927358322
"34",1973,"x5",1973.5,"m",65,1142.75844705321
"35",1973,"x5",1973.5,"m",70,1535.48677075264
"36",1973,"x5",1973.5,"m",75,2.02437280257434
"37",1973,"x5",1973.5,"m",79,1180.20934390084
"38",1973,"x5",1973.5,"m",80,1228.79429116262
"39",1973,"x5",1973.5,"m",85,1879.63014719027
"40",1974,"x5",1974.5,"f",0,8185.29132055726
"41",1974,"x5",1974.5,"f",1,7062.07789914318
"42",1974,"x5",1974.5,"f",5,1249.70141932108
"43",1974,"x5",1974.5,"f",10,523.154359343319
"44",1974,"x5",1974.5,"f",15,556.547190790765
